_skip,.group.element.code,,,,.group.element.target.code,.group.element.target.display,,,,,
y,"Smoking questions, concepts, aspects, etc., distince, per patient and obs date.  ""__"" separates the entries.",,count of patient/date with such a combination of smoking aspects,First,code (snomed browser link),display (Athena link),,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,7516109,x,702979003,Never used tobacco,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1542615,x,281018007,Ex-cigarette smoker,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,755275,x,702975009,Ex-tobacco user,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,486721,,702979003,Never used tobacco,,,,,
,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:0,,421854,,702979003,Never used tobacco,266919005,Never smoked tobacco (finding),SNOMEDCT,2022-03,2.16.840.1.113883.6.96
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,377356,x,65568007,Cigarette smoker,266927001,Tobacco smoking consumption unknown (finding),SNOMEDCT,2022-03,2.16.840.1.113883.6.96
,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,327323,,281018007,Ex-cigarette smoker,428041000124106,Occasional tobacco smoker (finding),SNOMEDCT,2022-03,2.16.840.1.113883.6.96
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,280059,,281018007,Ex-cigarette smoker,428061000124105,Light tobacco smoker (finding),SNOMEDCT,2022-03,2.16.840.1.113883.6.96
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No,"AS: should be unknown or never user? There are no ""never"" answers and the questions appear incomplete but the count is high.

SE: Not current smoker, which does not imply anything about the past. SNOMED?",227557,x,405746006,Current non smoker but past smoking history unknown,428071000124103,Heavy tobacco smoker (finding),SNOMEDCT,2022-03,2.16.840.1.113883.6.96
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,171579,,65568007,Cigarette smoker,449868002,Smokes tobacco daily (finding),SNOMEDCT,2022-03,2.16.840.1.113883.6.96
,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,150152,,65568007,Cigarette smoker,77176002,Smoker (finding),SNOMEDCT,2022-03,2.16.840.1.113883.6.96
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,149213,,281018007,Ex-cigarette smoker,8517006,Ex-smoker (finding),SNOMEDCT,2022-03,2.16.840.1.113883.6.96
,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,145535,,281018007,Ex-cigarette smoker,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,141774,x,110483000,Tobacco user,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive,,132867,x,43381005,Passive smoker,,,,,
,"Nicotine dependence, cigarettes, uncomplicated",,107862,,65568007,Cigarette smoker,,,,,
,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes",,106490,,65568007,Cigarette smoker,,,,,
,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Quit,,75450,,228513009,Ex-tobacco chewer,,,,,
,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes,,75177,x,81703003,Chews tobacco,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit,,68752,x,702975009,Ex-tobacco user,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,63359,,65568007,Cigarette smoker,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,59531,,702975009,Ex-tobacco user,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,55163,,702975009,Ex-tobacco user,,,,,
,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,52739,,65568007,Cigarette smoker,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,50842,,65568007,Cigarette smoker,,,,,
,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,48162,,702975009,Ex-tobacco user,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes,,43654,,110483000,Tobacco user,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,43374,,281018007,Ex-cigarette smoker,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,42294,x,456711000124105,Former smokeless tobacco user,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Not Asked,,39953,x,266927001,Tobacco smoking consumption unknown,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,39017,,456711000124105,Former smokeless tobacco user,,,,,
,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,Contradiction. AS what to do? We probably need the original form logic/order.,31652,,,,,,,,
,Tobacco use,,31571,,110483000,Tobacco user,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,27022,,65568007,Cigarette smoker,,,,,
,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,25756,x,59978006,Cigar smoker,,,,,
,"Chew:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes",,24424,,65568007,Cigarette smoker,,,,,
,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,24253,x,160621008,Ex-cigar smoker,,,,,
,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes",,22473,,65568007,Cigarette smoker,,,,,
,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,22432,,281018007,Ex-cigarette smoker,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,22068,,281018007,Ex-cigarette smoker,,,,,
,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes",,20824,,65568007,Cigarette smoker,,,,,
